email;syntactic_valid;mx_found;mx_hosts;smtp_status;smtp_response;disposable_domain;note;checked_at
geral@pedrogf.com;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:29.956108
escoladefutebol.clubetap@slbenfica.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:32.966192
escoladefutebol.olivaisexpo@slbenfica.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:35.978477
rubenpinto.pt@gmail.com;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:38.990301
santos@vivagym.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:42.003487
geral@santoeugenio.com;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:45.014222
geral@clinicajorgemoura.com;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:48.021946
escoladefutebol.altadelisboa@slbenfica.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:51.031353
porto@oralklass.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:54.043654
geral@dentalcarelisboa.com;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:33:57.051586
info@anatomytraining.net;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:00.056604
info@cmil.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:03.065560
cligenus@cmcm.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:06.073935
academica.oaf@mail.telepac.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:09.080899
info@osbelenenses.com;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:12.090549
geral@allureclinic.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:15.102542
geral@institutodeimplantologia.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:18.110540
soniaalves@soniaalves.com;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:21.117810
btm.ts@gmail.com;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:24.127289
lumiar@vivagym.pt;True;False;N/A;skipped_dry_run;N/A;False;Consulta DNS MX excedeu o tempo limite (Timeout).;2025-10-10T22:34:27.133027
